id;code;description;description_content_type;percentage;max_users;valid_from;valid_to;type;user_login
1;Wooden pricing Sleek;../fake-data/blob/hipster.png;image/png;33;8933;2025-11-24T20:50:08;2025-11-25T07:42:49;neural reintermediate Cape;infrastructures
2;primary data-warehouse Bedfordshire;../fake-data/blob/hipster.png;image/png;45;78174;2025-11-24T22:09:16;2025-11-24T17:02:28;moratorium iterate;Libyan
3;azure Armenian;../fake-data/blob/hipster.png;image/png;38;77075;2025-11-25T09:24:44;2025-11-24T16:07:51;application Soft Dynamic;Rustic Home
4;Keyboard vortals Facilitator;../fake-data/blob/hipster.png;image/png;50;75380;2025-11-25T05:50:11;2025-11-25T01:23:59;violet;Computer Liaison
5;Bedfordshire;../fake-data/blob/hipster.png;image/png;50;59640;2025-11-24T20:55:46;2025-11-25T03:45:58;compress Massachusetts Honduras;Cotton
6;Universal Research Communications;../fake-data/blob/hipster.png;image/png;78;33823;2025-11-24T19:19:42;2025-11-24T20:40:54;override Granite;project
7;Account one-to-one;../fake-data/blob/hipster.png;image/png;51;92200;2025-11-25T08:44:10;2025-11-24T22:38:10;copying;intuitive
8;Group e-services Frozen;../fake-data/blob/hipster.png;image/png;81;67096;2025-11-25T06:59:27;2025-11-25T09:15:33;Buckinghamshire application Pennsylvania;portals Plains
9;invoice;../fake-data/blob/hipster.png;image/png;70;86714;2025-11-24T22:32:28;2025-11-25T08:25:17;payment magenta;SMTP
10;Chair middleware Dollar;../fake-data/blob/hipster.png;image/png;30;98212;2025-11-25T06:27:50;2025-11-25T10:17:07;Belarus Louisiana;actuating ROI Handmade
