id;title;description;description_content_type;location;status;poster_url;start_time;end_time;organizer_login
1;Tuna integrated deposit;../fake-data/blob/hipster.png;image/png;holistic SAS;ONGOING;THX SDD;2025-11-24T16:44:40;2025-11-25T08:10:43;Account out-of-the-box Shoes
2;Jordan 24/7;../fake-data/blob/hipster.png;image/png;mobile;APPROVED;strategic Personal Triple-buffered;2025-11-25T07:11:29;2025-11-25T10:17:31;Indiana Sports Bedfordshire
3;Frozen maximize Metal;../fake-data/blob/hipster.png;image/png;quantify discrete Gorgeous;CANCELLED;Paradigm Prairie Card;2025-11-24T23:19:14;2025-11-25T05:22:42;sexy
4;Metal;../fake-data/blob/hipster.png;image/png;Montana Tuna;APPROVED;Operations;2025-11-24T19:03:47;2025-11-24T16:42:42;transitional
5;mint AI;../fake-data/blob/hipster.png;image/png;PCI Cuban Fresh;ONGOING;Shoal;2025-11-24T20:32:37;2025-11-25T04:34:05;virtual facilitate
6;Buckinghamshire Indiana;../fake-data/blob/hipster.png;image/png;Books;ONGOING;Berkshire;2025-11-25T07:21:57;2025-11-24T22:26:46;Sleek
7;Berkshire Producer;../fake-data/blob/hipster.png;image/png;North;END;paradigms;2025-11-24T21:38:25;2025-11-25T07:42:58;maximized Infrastructure Accountability
8;panel Tools transmitting;../fake-data/blob/hipster.png;image/png;e-enable;CANCELLED;Brazilian Solomon deposit;2025-11-24T14:15:19;2025-11-24T16:14:52;Steel Electronics streamline
9;Rial;../fake-data/blob/hipster.png;image/png;New Intelligent cyan;END;Officer Investor Cuba;2025-11-24T21:50:32;2025-11-25T04:27:20;Rubber optimal
10;Books clicks-and-mortar model;../fake-data/blob/hipster.png;image/png;Avon;CANCELLED;Alaska navigate;2025-11-25T08:55:29;2025-11-25T11:28:01;Nuevo e-tailers Card
