id;total_amount;status;user_login;ordered_at
1;48469;PAID;input synthesize Orchestrator;2025-11-24T21:46:56
2;67263;PENDING;salmon Legacy Berkshire;2025-11-24T23:46:31
3;77913;FAILED;Auto Salad open-source;2025-11-24T14:33:47
4;47168;CANCELLED;Tools Account;2025-11-24T18:35:42
5;61533;FAILED;online deliverables;2025-11-25T07:55:50
6;44552;CANCELLED;Global deposit solid;2025-11-25T02:12:33
7;84224;PAID;web-enabled Oro Awesome;2025-11-25T04:11:14
8;49428;PAID;Bedfordshire;2025-11-25T09:04:36
9;28537;REFUNDED;Table impactful;2025-11-24T17:47:25
10;4373;EXPIRED;Lead RSS channels;2025-11-24T20:42:36
