id;amount;payment_method;status;transaction_id;payment_time
1;36635;Loan;FAILED;Bacon core Rustic;2025-11-25T08:19:24
2;10361;harness Optimization;COMPLETED;Tools implementation product;2025-11-25T07:28:51
3;71932;Infrastructure Accountability tan;COMPLETED;Wooden Wooden syndicate;2025-11-24T19:46:30
4;68308;Sleek system deposit;CANCELLED;Multi-channelled Steel;2025-11-24T16:27:11
5;53725;Key;COMPLETED;EXE compressing Vermont;2025-11-25T10:43:13
6;34018;Fiji Legacy;REFUNDED;Canada 1080p AI;2025-11-25T10:15:56
7;72944;Account Table Rubber;COMPLETED;Kentucky Awesome;2025-11-24T12:56:46
8;98717;Armenia payment Nicaragua;COMPLETED;Ameliorated Technician;2025-11-24T15:12:02
9;51221;Account;REFUNDED;scalable Cheese reboot;2025-11-24T23:50:42
10;51490;deposit;FAILED;virtual Shoes;2025-11-24T12:09:12
