id;name;description;description_content_type;type;price;quantity_total;quantity_sold;image_url
1;Steel;../fake-data/blob/hipster.png;image/png;TICKET;98311;82284;74211;cross-platform Principal
2;wireless Computer;../fake-data/blob/hipster.png;image/png;MERCHANDISE;76808;92572;63950;Pound
3;actuating deposit;../fake-data/blob/hipster.png;image/png;TICKET;6255;13165;4972;Kina navigating
4;partnerships Infrastructure;../fake-data/blob/hipster.png;image/png;MERCHANDISE;85179;82822;27988;withdrawal green
5;Bedfordshire Liban neutral;../fake-data/blob/hipster.png;image/png;TICKET;16473;23281;6446;Computer CFP orange
6;Village;../fake-data/blob/hipster.png;image/png;MERCHANDISE;35518;58781;89275;auxiliary
7;COM Implementation Awesome;../fake-data/blob/hipster.png;image/png;MERCHANDISE;27331;47574;66238;Rubber Chips
8;Keyboard;../fake-data/blob/hipster.png;image/png;MERCHANDISE;46377;5902;8723;tangible
9;Cheese Renminbi;../fake-data/blob/hipster.png;image/png;TICKET;99001;78011;57905;Underpass project hacking
10;Arizona mobile;../fake-data/blob/hipster.png;image/png;TICKET;86012;25082;95618;Data
